Customer_ID,Age,Gender,Location,Annual_Income,Purchase_Frequency,Purchase_Amount,Product_Category,Purchase_Channel,Loyalty_Status,Membership_Years,Spending_Score
CUST0048,43,Female,Bengaluru,59522.0,16,370.03,Clothing,Mixed,Silver,7.4,63
CUST0049,19,Male,Howrah,85735.0,16,668.46,Clothing,Online,Basic,1.0,63
CUST0050,37,Female,Howrah,18000.0,10,436.46,Groceries,In-Store,Basic,6.7,37
CUST0051,45,Male,Kolkata,70890.0,13,565.48,Groceries,Online,Basic,2.5,63
CUST0052,64,Male,Siliguri,84272.0,6,195.47,Groceries,Mixed,Basic,5.0,27
CUST0053,24,Male,Asansol,28035.0,12,524.46,Groceries,Online,Basic,3.0,55
CUST0054,61,Male,Bardhaman,93594.0,9,434.91,Clothing,Online,Gold,7.3,36
CUST0055,25,Female,Mumbai,73462.0,13,337.81,Sports,In-Store,Basic,9.5,59
CUST0056,64,Female,Mumbai,54618.0,4,95.41,Sports,In-Store,Basic,9.2,15
CUST0057,52,Female,Mumbai,80820.0,11,438.3,Groceries,In-Store,Silver,5.9,66
CUST0058,31,Male,Kolkata,121767.0,20,470.75,Home & Garden,Mixed,Platinum,4.7,74
CUST0059,34,Female,Mumbai,69547.0,18,782.3,Electronics,Mixed,Basic,8.2,60
CUST0060,53,Male,Delhi,71206.0,11,362.02,Home & Garden,Online,Basic,6.9,25
CUST0061,57,Male,Durgapur,53516.0,4,206.49,Home & Garden,Online,Silver,2.0,24
CUST0062,21,Male,Kolkata,43754.0,18,605.41,Home & Garden,Online,Platinum,8.2,82
CUST0063,19,Female,Kolkata,85758.0,1,89.26,Sports,Online,Gold,4.4,1
CUST0064,23,Female,Bardhaman,43598.0,7,185.37,Electronics,Online,Silver,2.1,43
CUST0065,59,Male,Mumbai,66789.0,6,227.18,Home & Garden,Mixed,Basic,3.0,38
CUST0066,21,Female,Kharagpur,53059.0,15,630.25,Groceries,In-Store,Silver,2.8,66
CUST0067,46,Female,Asansol,76974.0,18,739.38,Sports,Online,Basic,5.3,81
CUST0068,35,Male,Durgapur,73342.0,11,347.13,Groceries,Online,Silver,2.5,50
CUST0069,43,Male,Kolkata,90938.0,20,533.14,Groceries,In-Store,Gold,1.4,90
CUST0070,61,Female,Durgapur,52250.0,15,278.05,Home & Garden,Online,Platinum,1.4,57
CUST0071,51,Male,Kolkata,58253.0,16,617.54,Groceries,Online,Basic,5.9,68
CUST0072,27,Male,Siliguri,40531.0,7,155.98,Electronics,Mixed,Basic,7.4,30
CUST0073,53,Female,Bardhaman,53893.0,10,328.86,Groceries,Mixed,Silver,3.4,44
CUST0074,31,Female,Delhi,74433.0,12,438.89,Home & Garden,Online,Gold,0.5,57
CUST0075,48,Male,Siliguri,83925.0,14,647.6,Groceries,Mixed,Gold,1.4,50
CUST0076,65,Female,Bengaluru,41946.0,5,144.56,Sports,Online,Basic,9.2,22
CUST0077,32,Male,Mumbai,86740.0,18,477.16,Sports,In-Store,Basic,5.0,71
CUST0078,25,Male,Bengaluru,98891.0,5,243.01,Sports,Online,Silver,4.6,22
CUST0079,31,Female,Asansol,75336.0,3,173.55,Clothing,Online,Basic,0.6,21
CUST0080,40,Male,Kharagpur,111920.0,5,264.08,Sports,Mixed,Gold,7.3,39
CUST0081,57,Male,Delhi,45655.0,17,764.39,Sports,Online,Silver,5.4,76
CUST0082,38,Male,Siliguri,33884.0,19,798.1,Clothing,In-Store,Gold,2.2,87
CUST0083,33,Female,Durgapur,20532.0,19,429.34,Sports,Online,Silver,1.3,81
CUST0084,62,Female,Durgapur,102401.0,12,382.36,Home & Garden,Online,Gold,4.0,48
CUST0085,35,Female,Asansol,81359.0,9,369.05,Sports,Online,Basic,8.4,31
CUST0086,64,Male,Kolkata,63610.0,1,111.87,Sports,Online,Gold,8.7,12
CUST0087,41,Male,Durgapur,71999.0,18,382.4,Clothing,In-Store,Basic,6.1,46
CUST0088,43,Female,Mumbai,36863.0,4,162.39,Home & Garden,Online,Silver,7.3,1
CUST0089,42,Female,Kharagpur,126144.0,10,487.0,Groceries,In-Store,Basic,1.3,48
CUST0090,62,Female,Bardhaman,68231.0,7,226.2,Electronics,In-Store,Silver,6.0,9
CUST0091,58,Male,Mumbai,67735.0,1,80.93,Home & Garden,In-Store,Basic,6.7,1
CUST0092,46,Female,Kharagpur,83144.0,17,835.7,Groceries,Online,Basic,2.2,75
CUST0093,32,Male,Asansol,77025.0,2,79.88,Home & Garden,Mixed,Platinum,8.8,3
CUST0094,62,Female,Mumbai,70597.0,11,341.76,Groceries,Online,Basic,2.1,42
CUST0095,18,Male,Bardhaman,45238.0,9,283.56,Groceries,Online,Gold,3.3,44
CUST0096,42,Male,Bardhaman,76787.0,7,357.08,Home & Garden,Online,Platinum,6.3,34
CUST0097,24,Female,Howrah,112051.0,17,862.22,Clothing,Online,Basic,6.5,72
CUST0098,26,Male,Kolkata,98636.0,17,572.49,Home & Garden,Online,Gold,7.1,79
CUST0099,41,Female,Asansol,104830.0,2,161.03,Home & Garden,In-Store,Basic,1.3,1
CUST0100,18,Male,Mumbai,52220.0,6,224.59,Groceries,Online,Basic,8.5,27
CUST0101,61,Male,Delhi,40260.0,14,481.35,Electronics,Online,Silver,5.4,44
CUST0102,25,Female,Delhi,61855.0,6,177.66,Groceries,In-Store,Platinum,4.8,25
CUST0103,41,Male,Asansol,66393.0,2,97.63,Sports,Online,Basic,9.8,7
CUST0104,28,Female,Mumbai,92355.0,1,132.42,Home & Garden,Online,Silver,7.5,16
CUST0105,34,Female,Siliguri,22688.0,10,342.64,Home & Garden,Online,Silver,1.4,46
CUST0106,25,Female,Siliguri,103239.0,5,162.04,Clothing,In-Store,Gold,7.6,15
CUST0107,52,Male,Kolkata,61050.0,2,149.9,Groceries,Online,Basic,1.1,5
CUST0108,52,Male,Mumbai,54328.0,16,375.72,Clothing,Online,Gold,0.5,55
CUST0109,50,Male,Bardhaman,39697.0,2,89.52,Home & Garden,Online,Gold,4.2,24
CUST0110,22,Female,Durgapur,23629.0,10,326.95,Groceries,In-Store,Silver,9.9,53
CUST0111,59,Female,Delhi,85579.0,2,128.52,Groceries,In-Store,Platinum,1.9,3
CUST0112,56,Male,Mumbai,66833.0,16,332.16,Sports,In-Store,Gold,6.8,63
CUST0113,58,Male,Mumbai,32751.0,16,416.13,Sports,Online,Basic,1.9,46
CUST0114,45,Female,Durgapur,32623.0,19,867.98,Electronics,Online,Silver,7.3,81
CUST0115,24,Male,Durgapur,56605.0,7,189.79,Sports,Online,Basic,5.2,19
CUST0116,26,Female,Kharagpur,106726.0,12,396.97,Groceries,Online,Basic,6.9,56
CUST0117,25,Male,Howrah,58510.0,15,646.67,Sports,Online,Silver,2.2,55
CUST0118,29,Female,Kolkata,27421.0,8,151.83,Electronics,Online,Basic,7.5,31
CUST0119,51,Male,Delhi,58856.0,6,241.88,Home & Garden,Online,Silver,10.0,25
CUST0120,50,Male,Durgapur,58182.0,10,313.05,Sports,In-Store,Platinum,6.7,38
CUST0121,65,Female,Siliguri,18000.0,3,83.78,Groceries,Online,Basic,5.0,25
CUST0122,40,Female,Asansol,63643.0,19,519.13,Home & Garden,In-Store,Platinum,9.2,86
CUST0123,41,Female,Siliguri,59227.0,17,333.33,Groceries,Online,Silver,0.4,58
CUST0124,54,Male,Kharagpur,82405.0,7,257.23,Home & Garden,Online,Silver,7.4,26
CUST0125,52,Female,Kharagpur,111224.0,20,446.0,Groceries,Online,Gold,8.9,59
CUST0126,61,Female,Durgapur,93164.0,4,224.94,Sports,Online,Basic,0.8,19
CUST0127,57,Male,Kharagpur,58278.0,14,442.44,Sports,Online,Silver,4.6,71
CUST0128,39,Female,Bardhaman,37337.0,20,599.45,Electronics,Online,Silver,2.2,76
CUST0129,44,Female,Bengaluru,129334.0,15,736.72,Home & Garden,Mixed,Basic,5.8,74
CUST0130,52,Female,Mumbai,66480.0,8,313.44,Electronics,In-Store,Platinum,6.6,22
CUST0131,18,Male,Mumbai,65348.0,15,275.52,Clothing,Online,Gold,3.2,48
CUST0132,52,Male,Durgapur,64397.0,20,943.07,Sports,In-Store,Basic,4.7,94
CUST0133,54,Male,Kharagpur,69952.0,14,365.13,Home & Garden,In-Store,Basic,2.9,53
CUST0134,64,Female,Asansol,61391.0,9,219.92,Electronics,In-Store,Silver,3.8,40
CUST0135,31,Male,Bardhaman,50658.0,8,349.89,Electronics,In-Store,Basic,1.8,30
CUST0136,20,Female,Kolkata,51329.0,17,558.64,Clothing,Online,Silver,8.9,53
CUST0137,18,Female,Kharagpur,64181.0,2,91.07,Electronics,Online,Basic,0.3,18
CUST0138,22,Female,Bardhaman,51414.0,3,107.13,Groceries,Online,Silver,8.8,5
CUST0139,43,Male,Howrah,47179.0,8,300.57,Sports,Online,Basic,5.8,37
CUST0140,31,Male,Kolkata,67661.0,12,322.79,Electronics,Online,Basic,3.5,49
CUST0141,56,Female,Mumbai,58626.0,1,80.31,Electronics,In-Store,Silver,7.3,1
CUST0142,44,Female,Howrah,102600.0,10,266.64,Clothing,Mixed,Silver,5.2,46
CUST0143,26,Male,Durgapur,18000.0,20,845.52,Groceries,Mixed,Platinum,5.1,82
CUST0144,32,Male,Delhi,92288.0,3,202.59,Electronics,Mixed,Gold,1.3,16
CUST0145,32,Male,Durgapur,96152.0,6,290.95,Sports,In-Store,Basic,4.0,24
CUST0146,43,Female,Asansol,18000.0,7,266.28,Sports,Mixed,Basic,2.6,42
CUST0147,59,Male,Bardhaman,56433.0,20,759.36,Electronics,Online,Gold,0.4,94
CUST0148,30,Male,Delhi,55714.0,18,503.58,Groceries,Online,Platinum,3.7,54
CUST0149,49,Male,Kolkata,29812.0,11,271.42,Sports,Online,Gold,1.1,58
CUST0150,56,Female,Kolkata,45555.0,19,442.19,Sports,In-Store,Basic,2.7,63
CUST0151,49,Male,Howrah,37236.0,5,243.4,Groceries,Online,Platinum,1.1,40
CUST0152,21,Female,Asansol,108807.0,19,856.8,Groceries,In-Store,Basic,1.2,82
CUST0153,47,Female,Mumbai,88392.0,11,413.99,Electronics,Online,Gold,2.2,43
CUST0154,54,Female,Kharagpur,96789.0,12,335.44,Home & Garden,Online,Platinum,10.0,43
CUST0155,40,Male,Kharagpur,83042.0,10,321.94,Clothing,In-Store,Basic,0.2,36
CUST0156,56,Male,Delhi,36774.0,8,294.52,Home & Garden,Online,Platinum,6.5,53
CUST0157,62,Male,Asansol,51887.0,9,288.51,Home & Garden,Online,Basic,1.6,35
CUST0158,32,Female,Asansol,77234.0,4,211.76,Sports,Online,Platinum,9.2,16
CUST0159,60,Male,Kolkata,34447.0,5,267.69,Groceries,Online,Basic,1.1,24
CUST0160,46,Female,Mumbai,82825.0,8,232.49,Sports,In-Store,Platinum,9.6,23
CUST0161,53,Male,Bardhaman,58992.0,9,298.36,Clothing,Online,Basic,6.2,49
CUST0162,30,Male,Mumbai,55629.0,15,478.57,Electronics,In-Store,Gold,0.2,47
CUST0163,49,Male,Siliguri,82774.0,15,437.09,Clothing,Online,Silver,9.0,53
CUST0164,24,Male,Asansol,76107.0,16,381.68,Sports,In-Store,Silver,5.3,66
CUST0165,39,Female,Durgapur,55976.0,14,281.56,Sports,Online,Basic,2.8,49
CUST0166,45,Female,Bengaluru,93983.0,8,409.11,Sports,In-Store,Gold,7.7,42
CUST0167,19,Female,Asansol,37973.0,18,537.17,Sports,In-Store,Basic,9.3,82
CUST0168,59,Female,Delhi,80398.0,10,340.51,Home & Garden,Online,Silver,4.9,48
CUST0169,62,Male,Durgapur,79828.0,20,906.19,Electronics,Mixed,Basic,3.3,90
CUST0170,23,Female,Delhi,57261.0,6,280.59,Home & Garden,In-Store,Platinum,7.9,44
CUST0171,45,Female,Howrah,73153.0,12,278.31,Sports,Online,Basic,6.9,38
CUST0172,45,Female,Bengaluru,33722.0,2,96.68,Groceries,Online,Basic,8.9,8
CUST0173,61,Male,Bengaluru,88101.0,7,273.76,Home & Garden,Mixed,Basic,7.0,29
CUST0174,61,Female,Kolkata,60377.0,16,669.23,Sports,In-Store,Silver,2.6,68
CUST0175,37,Female,Asansol,51932.0,3,173.12,Sports,Online,Basic,9.3,6
CUST0176,47,Male,Kolkata,91225.0,13,553.12,Electronics,Online,Silver,1.2,44
CUST0177,28,Male,Kharagpur,47391.0,3,103.96,Clothing,In-Store,Gold,2.8,15
CUST0178,45,Female,Delhi,29788.0,18,732.09,Home & Garden,In-Store,Gold,5.3,72
CUST0179,42,Female,Siliguri,26084.0,11,210.6,Home & Garden,In-Store,Silver,5.7,53
CUST0180,56,Male,Siliguri,80150.0,8,240.97,Home & Garden,Online,Basic,0.4,30
CUST0181,50,Female,Kharagpur,32989.0,6,171.16,Sports,In-Store,Gold,7.8,21
CUST0182,18,Male,Howrah,108870.0,1,151.14,Electronics,Online,Basic,3.7,17
CUST0183,44,Female,Siliguri,18000.0,1,37.11,Sports,Online,Gold,4.2,7
CUST0184,30,Female,Delhi,107411.0,8,385.75,Sports,In-Store,Basic,8.1,35
CUST0185,58,Female,Siliguri,70275.0,5,261.87,Groceries,Mixed,Silver,3.9,18
CUST0186,20,Female,Kharagpur,62582.0,16,422.11,Electronics,Online,Basic,0.7,89
CUST0187,56,Female,Durgapur,51377.0,11,308.94,Home & Garden,Online,Gold,1.9,45
CUST0188,23,Male,Kolkata,74978.0,5,161.34,Clothing,In-Store,Basic,9.6,28
CUST0189,25,Male,Bardhaman,64059.0,4,131.37,Home & Garden,Online,Silver,0.9,8
CUST0190,44,Female,Delhi,92583.0,6,201.81,Sports,In-Store,Basic,3.7,19
CUST0191,26,Female,Kolkata,67856.0,14,650.77,Electronics,In-Store,Gold,5.1,80
CUST0192,54,Female,Bengaluru,68758.0,19,442.78,Electronics,Online,Platinum,5.0,80
CUST0193,50,Male,Mumbai,55910.0,9,278.53,Electronics,Mixed,Silver,0.2,39
CUST0194,59,Male,Siliguri,63576.0,12,222.05,Groceries,In-Store,Silver,5.1,38
CUST0195,61,Male,Siliguri,72695.0,11,496.11,Home & Garden,Mixed,Platinum,4.0,47
CUST0196,41,Male,Howrah,22246.0,14,539.31,Groceries,In-Store,Silver,9.7,53
CUST0197,32,Male,Kolkata,31295.0,16,713.78,Clothing,Mixed,Silver,1.8,61
CUST0198,49,Male,Mumbai,83582.0,1,87.69,Sports,Online,Silver,3.7,13
CUST0199,49,Male,Siliguri,69272.0,13,391.71,Groceries,Online,Gold,4.3,55
CUST0200,41,Male,Bengaluru,60400.0,13,352.27,Groceries,Mixed,Basic,4.0,55
CUST0201,58,Female,Howrah,65461.0,2,125.97,Sports,Online,Gold,6.7,7
CUST0202,29,Male,Kolkata,73690.0,4,170.9,Electronics,Online,Silver,2.3,19
CUST0203,56,Male,Howrah,51506.0,6,229.72,Sports,In-Store,Basic,2.4,22
CUST0204,19,Male,Kolkata,45542.0,5,115.19,Home & Garden,In-Store,Gold,7.3,12
CUST0205,20,Male,Asansol,69896.0,3,112.08,Sports,Online,Basic,5.1,26
CUST0206,54,Female,Asansol,40541.0,1,63.11,Electronics,Mixed,Basic,4.3,6
CUST0207,34,Male,Kharagpur,75206.0,4,216.67,Sports,In-Store,Silver,1.9,23
CUST0208,19,Female,Delhi,22435.0,20,762.36,Groceries,Online,Gold,2.0,90
CUST0209,19,Female,Howrah,90729.0,2,136.51,Clothing,In-Store,Gold,0.3,12
CUST0210,45,Female,Kharagpur,76815.0,5,197.55,Groceries,Online,Platinum,1.1,23
CUST0211,40,Male,Howrah,71401.0,3,140.91,Clothing,Online,Gold,5.7,5
CUST0212,54,Male,Siliguri,89567.0,9,246.32,Sports,Online,Basic,8.9,27
CUST0213,49,Male,Bardhaman,106637.0,20,667.06,Home & Garden,Online,Basic,3.0,72
CUST0214,50,Female,Howrah,90359.0,6,171.19,Sports,Online,Gold,3.4,28
CUST0215,18,Female,Siliguri,18978.0,18,407.21,Electronics,In-Store,Basic,1.3,65
CUST0216,36,Female,Mumbai,33011.0,6,176.07,Sports,In-Store,Silver,4.0,16
CUST0217,19,Female,Asansol,49380.0,19,483.7,Clothing,In-Store,Silver,0.6,75
CUST0218,61,Male,Kharagpur,65652.0,12,270.67,Groceries,In-Store,Basic,9.2,47
CUST0219,43,Male,Bardhaman,77941.0,11,265.25,Home & Garden,Online,Platinum,6.8,35
CUST0220,49,Male,Bengaluru,46856.0,2,80.12,Sports,Online,Silver,9.9,8
CUST0221,23,Female,Asansol,69669.0,15,298.72,Sports,Mixed,Silver,8.9,57
CUST0222,49,Female,Kharagpur,46115.0,12,445.26,Groceries,Online,Platinum,4.8,43
CUST0223,21,Male,Bardhaman,49712.0,12,312.71,Home & Garden,Online,Silver,5.3,49
CUST0224,28,Male,Bengaluru,29833.0,9,246.96,Sports,In-Store,Basic,2.1,36
CUST0225,34,Female,Durgapur,41919.0,2,93.34,Sports,Online,Silver,4.7,1
CUST0226,55,Male,Siliguri,31208.0,3,142.55,Clothing,Mixed,Gold,9.0,15
CUST0227,41,Male,Durgapur,40603.0,12,520.63,Clothing,Online,Gold,0.7,55
CUST0228,22,Female,Siliguri,91341.0,16,710.27,Electronics,Online,Gold,8.7,65
CUST0229,51,Female,Kolkata,41265.0,1,82.49,Groceries,Online,Gold,3.5,1
CUST0230,23,Female,Delhi,130810.0,3,220.43,Home & Garden,In-Store,Basic,9.0,8
CUST0231,39,Male,Bardhaman,77333.0,20,791.2,Sports,Online,Gold,9.4,81
CUST0232,28,Female,Durgapur,69621.0,2,114.51,Sports,Online,Gold,6.8,10
CUST0233,65,Male,Delhi,43541.0,9,241.82,Electronics,Mixed,Basic,6.7,29
CUST0234,33,Male,Bardhaman,82508.0,19,476.18,Sports,Mixed,Basic,4.6,58
CUST0235,50,Female,Kharagpur,50609.0,15,386.37,Groceries,Online,Platinum,8.4,50
CUST0236,26,Male,Kolkata,68050.0,18,811.83,Electronics,Online,Gold,9.6,76
CUST0237,23,Female,Kharagpur,129002.0,11,500.64,Groceries,Online,Gold,7.8,55
CUST0238,33,Female,Siliguri,62599.0,16,663.51,Electronics,Mixed,Gold,6.3,73
CUST0239,46,Male,Delhi,93732.0,17,547.64,Sports,Mixed,Silver,6.1,74
CUST0240,20,Male,Bardhaman,47421.0,5,182.2,Electronics,Online,Silver,8.5,15
CUST0241,37,Female,Howrah,64125.0,12,269.17,Clothing,In-Store,Silver,5.5,44
CUST0242,53,Female,Delhi,109270.0,11,289.51,Home & Garden,Online,Basic,8.1,22
CUST0243,36,Female,Mumbai,49326.0,15,628.89,Sports,Online,Gold,5.2,68
CUST0244,43,Female,Bengaluru,110311.0,3,154.43,Home & Garden,Online,Silver,0.8,19
CUST0245,20,Female,Durgapur,82694.0,1,90.7,Sports,Online,Silver,4.0,3
CUST0246,36,Female,Bardhaman,50938.0,20,814.49,Home & Garden,Online,Silver,4.6,88
CUST0247,37,Male,Asansol,80810.0,16,423.68,Clothing,Online,Silver,1.6,48
CUST0248,49,Male,Asansol,89314.0,2,195.85,Home & Garden,In-Store,Basic,1.2,6
CUST0249,24,Male,Bengaluru,80545.0,2,116.97,Electronics,Online,Basic,5.4,16
CUST0250,58,Male,Siliguri,25744.0,3,105.18,Home & Garden,In-Store,Basic,1.0,16
CUST0251,50,Female,Delhi,46822.0,8,239.53,Sports,Online,Basic,3.2,28
CUST0252,57,Male,Delhi,58812.0,15,320.26,Groceries,Online,Platinum,7.5,60
CUST0253,56,Male,Asansol,63139.0,7,176.76,Home & Garden,Online,Basic,9.7,27
CUST0254,35,Female,Delhi,80517.0,6,251.99,Home & Garden,Online,Basic,7.2,22
CUST0255,57,Male,Bengaluru,69443.0,9,423.37,Home & Garden,Online,Silver,9.9,39
CUST0256,18,Female,Delhi,31616.0,20,806.19,Sports,Online,Silver,7.0,81
CUST0257,28,Female,Siliguri,74505.0,1,60.52,Home & Garden,Online,Basic,3.1,1
CUST0258,45,Female,Durgapur,80265.0,8,303.44,Sports,Online,Gold,6.8,43
CUST0259,42,Female,Mumbai,78995.0,3,116.6,Sports,In-Store,Gold,7.1,8
CUST0260,40,Female,Durgapur,92020.0,4,179.22,Groceries,In-Store,Basic,3.8,11
CUST0261,48,Male,Mumbai,85848.0,15,613.83,Electronics,Online,Basic,0.4,52
CUST0262,47,Male,Howrah,76480.0,6,266.64,Sports,Online,Platinum,7.1,5
CUST0263,59,Male,Durgapur,63246.0,15,299.05,Clothing,Online,Gold,0.4,58
CUST0264,52,Female,Bengaluru,23476.0,3,73.63,Home & Garden,In-Store,Gold,6.4,17
CUST0265,24,Male,Kolkata,75740.0,14,708.17,Clothing,Online,Basic,1.8,74
CUST0266,33,Male,Howrah,70192.0,20,384.75,Home & Garden,Online,Silver,5.7,68
CUST0267,43,Male,Mumbai,71789.0,14,485.92,Groceries,Online,Silver,5.1,54
CUST0268,65,Male,Mumbai,33081.0,4,145.16,Sports,Mixed,Basic,0.3,12
CUST0269,19,Female,Howrah,37974.0,12,268.02,Electronics,Online,Silver,3.8,40
CUST0270,18,Male,Mumbai,91329.0,17,449.54,Sports,In-Store,Silver,6.1,72
CUST0271,65,Female,Bardhaman,64011.0,7,211.44,Home & Garden,Online,Basic,8.5,27
CUST0272,29,Female,Kolkata,82038.0,9,409.37,Electronics,Mixed,Gold,8.9,43
CUST0273,22,Male,Bengaluru,65708.0,3,171.64,Sports,In-Store,Gold,4.9,11
CUST0274,54,Female,Bardhaman,65744.0,13,481.74,Electronics,Online,Basic,7.3,64
CUST0275,49,Female,Mumbai,88457.0,15,748.9,Home & Garden,In-Store,Gold,3.3,54
CUST0276,26,Female,Durgapur,52099.0,18,749.02,Groceries,Online,Basic,3.6,68
CUST0277,58,Female,Bardhaman,67403.0,19,594.37,Groceries,In-Store,Gold,2.1,77
CUST0278,52,Female,Durgapur,53443.0,1,62.72,Sports,In-Store,Basic,5.7,19
CUST0279,36,Female,Howrah,54138.0,6,252.09,Clothing,Online,Basic,3.3,24
CUST0280,65,Female,Delhi,57271.0,2,107.34,Home & Garden,In-Store,Silver,1.0,3
CUST0281,33,Male,Kharagpur,70553.0,14,483.08,Sports,Online,Silver,6.9,64
CUST0282,20,Male,Mumbai,53031.0,6,235.54,Sports,Online,Platinum,7.1,28
CUST0283,37,Female,Kharagpur,96394.0,14,311.85,Groceries,Online,Basic,3.7,60
CUST0284,41,Female,Kolkata,42635.0,4,149.4,Electronics,In-Store,Basic,1.0,6
CUST0285,50,Male,Durgapur,60328.0,8,250.6,Home & Garden,Online,Silver,4.4,41
CUST0286,41,Male,Bardhaman,54007.0,3,109.18,Electronics,Online,Silver,4.5,1
CUST0287,28,Male,Kharagpur,101174.0,19,434.03,Home & Garden,In-Store,Basic,6.8,66
CUST0288,25,Male,Siliguri,69914.0,14,534.47,Clothing,Online,Gold,3.3,62
CUST0289,53,Female,Mumbai,90796.0,20,669.36,Groceries,Online,Gold,6.9,81
CUST0290,55,Female,Kharagpur,27861.0,17,410.7,Clothing,Online,Gold,8.7,70
CUST0291,57,Male,Bardhaman,71676.0,8,278.12,Sports,Online,Platinum,2.5,18
CUST0292,37,Male,Bardhaman,87241.0,14,520.92,Groceries,Online,Basic,9.8,59
CUST0293,52,Male,Kolkata,67057.0,6,162.07,Sports,Online,Gold,4.0,32
